data_copa,time_a,time_b,placar,gols_do_time_da_casa,gols_do_time_da_fora,saldo_gols_do_time_da_casa,saldo_gols_do_time_da_fora,teve_prorrogacao,foi_para_penaltis,placar_penaltis,gols_do_time_da_casa_penaltis,gols_do_time_da_fora_penaltis,time_da_casa_vencedor,time_da_fora_vencedor,empatou,sede,vencedor_copa,sede_vencedor,qtd_times_parcticipantes
1966,Soviet Union,Chile,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,England,Argentina,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Portugal,North Korea,5Ð3,5,3,2,-2,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Soviet Union,Hungary,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,West Germany,Uruguay,4Ð0,4,0,4,-4,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,West Germany,Soviet Union,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,England,Portugal,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Portugal,Soviet Union,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,England,West Germany,4Ð2,4,2,2,-2,1,0,0-0,0,0,1,0,0,England,England,1,16
1970,Mexico,Soviet Union,0Ð0,0,0,0,0,0,0,0-0,0,0,0,0,1,Mexico,Brazil,0,16
1970,Uruguay,Israel,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Mexico,Brazil,0,16
1970,England,Romania,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Mexico,Brazil,0,16
1970,Peru,Bulgaria,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Mexico,Brazil,0,16
1970,Belgium,El Salvador,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Mexico,Brazil,0,16
1970,Italy,Sweden,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Mexico,Brazil,0,16
1970,Brazil,Czechoslovakia,4Ð1,4,1,3,-3,0,0,0-0,0,0,1,0,0,Mexico,Brazil,0,16
1970,West Germany,Morocco,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Mexico,Brazil,0,16
1970,Soviet Union,Belgium,4Ð1,4,1,3,-3,0,0,0-0,0,0,1,0,0,Mexico,Brazil,0,16
1970,Uruguay,Italy,0Ð0,0,0,0,0,0,0,0-0,0,0,0,0,1,Mexico,Brazil,0,16
1970,Romania,Czechoslovakia,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Mexico,Brazil,0,16
1970,Peru,Morocco,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Mexico,Brazil,0,16
1970,Mexico,El Salvador,4Ð0,4,0,4,-4,0,0,0-0,0,0,1,0,0,Mexico,Brazil,0,16
1970,Sweden,Israel,1Ð1,1,1,0,0,0,0,0-0,0,0,0,0,1,Mexico,Brazil,0,16
